0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/css/themify-icons.css HTTP/1.1" 200 16452
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/css/style.css HTTP/1.1" 200 125351
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/img/logo/loder.png HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 200 97153
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/img/logo/logo2_footer.png HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/img/logo/logo.png HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/vendor/modernizr-3.5.0.min.js HTTP/1.1" 200 8636
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/popper.min.js HTTP/1.1" 200 19188
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/bootstrap.min.js HTTP/1.1" 200 48943
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/slick.min.js HTTP/1.1" 200 42856
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/owl.carousel.min.js HTTP/1.1" 200 42763
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/jquery.slicknav.min.js HTTP/1.1" 200 8413
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/animated.headline.js HTTP/1.1" 200 5531
0:0:0:0:0:0:0:1 - - [05/Feb/2026:12:46:04 +0530] "GET /Virtual-Classroom-master/assets/js/wow.min.js HTTP/1.1" 200 8415
